,,,,Global,CHN,IND,MEA,NAM,NEE,SEA,EUR,LAM,SSA,OPA
Forecast Annual Growth Rate,Wind Capacity,%,2027,7%,8%,7%,17%,7%,12%,19%,5%,7%,10%,12%
Forecast Annual Growth Rate,Wind Capacity,%,2028,9%,10%,11%,22%,7%,14%,16%,7%,7%,13%,19%
Forecast Annual Growth Rate,Wind Capacity,%,2029,10%,12%,15%,20%,7%,11%,16%,7%,6%,9%,11%
Forecast Annual Growth Rate,Wind Capacity,%,2030,10%,11%,20%,17%,8%,8%,14%,7%,9%,6%,12%
Forecast Annual Growth Rate,Hydro Capacity,%,2025,3%,3%,14%,1%,0%,2%,7%,1%,2%,14%,4%
Forecast Annual Growth Rate,Hydro Capacity,%,2026,4%,2%,10%,5%,1%,12%,7%,1%,3%,10%,5%
Forecast Annual Growth Rate,Hydro Capacity,%,2027,3%,3%,5%,4%,0%,4%,9%,1%,2%,5%,2%
Forecast Annual Growth Rate,Hydro Capacity,%,2028,2%,1%,7%,6%,1%,1%,1%,0%,0%,6%,3%
Forecast Annual Growth Rate,Hydro Capacity,%,2029,2%,2%,6%,5%,1%,1%,7%,0%,0%,2%,1%
Forecast Annual Growth Rate,Hydro Capacity,%,2030,3%,3%,13%,4%,1%,2%,5%,1%,1%,9%,0%
Forecast Annual Growth Rate,Geo Capacity,%,2025,16%,-2%,169415%,10%,8%,18%,19%,3%,9%,81%,0%
Forecast Annual Growth Rate,Geo Capacity,%,2026,20%,2114%,2148%,32%,2%,687%,5%,26%,9%,20%,34%
Forecast Annual Growth Rate,Geo Capacity,%,2027,20%,193%,83%,66%,3%,101%,3%,26%,-0%,0%,10%
Forecast Annual Growth Rate,Geo Capacity,%,2028,12%,48%,103%,36%,6%,19%,-0%,5%,-1%,-0%,4%
Forecast Annual Growth Rate,Geo Capacity,%,2029,10%,24%,58%,17%,15%,14%,0%,15%,-1%,-0%,2%
Forecast Annual Growth Rate,Geo Capacity,%,2030,7%,-0%,35%,9%,15%,8%,0%,15%,-1%,-0%,1%
Forecast Annual Growth Rate,Biomass Capacity,%,2025,1%,0%,2%,1%,-2%,6%,2%,1%,3%,4%,4%
Forecast Annual Growth Rate,Biomass Capacity,%,2026,1%,1%,2%,17%,-0%,33%,1%,0%,-0%,3%,1%
