				Global	CHN	IND	MEA	NAM	NEE	SEA	EUR	LAM	SSA	OPA
Capacity Factor	Biomass	%	2029	42.374975%	59.575948%	5.765964%	9.213465%	42.241562%	56.096400%	66.551667%	33.988468%	20.672365%	9.037764%	76.736580%
Capacity Factor	Biomass	%	2030	43.380142%	61.404663%	11.465874%	10.011991%	42.529377%	59.244481%	70.104027%	34.011734%	20.577461%	9.069021%	75.642059%
Capacity Factor	Nuclear	%	2017	78.675548%	85.957804%	79.538659%	170.017317%	96.911859%	73.378831%		79.831395%	77.796872%	90.588994%	39.665812%
Capacity Factor	Nuclear	%	2018	79.915035%	82.232627%	83.217467%	88.286823%	97.181809%	80.929720%		80.106553%	80.094346%	86.044451%	43.180525%
Capacity Factor	Nuclear	%	2019	76.465595%	87.178847%	75.161246%	77.097587%	91.841205%	77.905471%		76.385992%	76.640331%	83.484129%	38.379471%
Capacity Factor	Nuclear	%	2020	74.066374%	83.194821%	67.960479%	37.146068%	92.476690%	74.870875%	0.000000%	70.900440%	61.689848%	71.289341%	39.778365%
Capacity Factor	Nuclear	%	2021	79.464865%	80.638864%	48.667096%	51.431933%	97.038342%	68.469187%	0.000000%	86.877950%	73.603612%	73.320749%	47.951407%
Capacity Factor	Nuclear	%	2022	71.065550%	78.068773%	60.699832%	42.934425%	94.290767%	59.362942%	0.000000%	67.203249%	70.597170%	61.979548%	43.578398%
Capacity Factor	Nuclear	%	2023	77.603612%	80.953574%	61.251112%	74.978011%	89.291875%	72.469549%	0.000000%	87.986374%	75.985857%	74.236407%	42.836283%
Capacity Factor	Nuclear	%	2024	76.995443%	81.346970%	62.104892%	78.740571%	89.821345%	73.400901%	0.000000%	84.033008%	75.961972%	74.185510%	43.637133%
Capacity Factor	Nuclear	%	2025	76.934374%	81.233979%	62.128848%	64.528014%	90.785143%	72.197183%	0.000000%	81.481908%	63.143475%	74.079134%	50.145322%
Capacity Factor	Nuclear	%	2026	76.609410%	79.897598%	62.091395%	75.351255%	90.114267%	66.281197%	0.000000%	80.388073%	72.278620%	73.139786%	55.422913%
Capacity Factor	Nuclear	%	2027	75.225020%	80.561093%	52.016009%	75.666745%	89.828869%	63.336630%	0.000000%	76.693886%	73.651176%	73.584571%	58.517225%
Capacity Factor	Nuclear	%	2028	75.707827%	80.531160%	56.756375%	68.369800%	89.571655%	63.303069%	0.000000%	76.300396%	72.672367%	73.876212%	63.469885%
Capacity Factor	Nuclear	%	2029	75.667204%	76.404177%	61.438866%	69.398158%	89.247941%	63.162626%	0.000000%	73.967773%	72.003748%	73.753286%	70.349141%
Capacity Factor	Nuclear	%	2030	76.242492%	74.050730%	62.065062%	69.708070%	88.861424%	64.578666%	0.000000%	73.338318%	71.774343%	73.407446%	76.983358%
														
														
														
Annual Growth Rate and CAGR														
Forecast CAGR	Solar Capacity	%	2024-2030	14.031458%	13.888458%	18.425062%	15.675688%	13.497333%	18.469190%	23.637393%	12.912649%	12.322649%	18.435562%	10.493650%
Forecast CAGR	Wind Capacity	%	2024-2030	9.059633%	9.502850%	9.375210%	17.518852%	7.273503%	14.993880%	17.360847%	6.524042%	7.383700%	9.675866%	19.519019%
Forecast CAGR	Hydro Capacity	%	2024-2030	2.793925%	2.329526%	9.181703%	4.112185%	0.755375%	3.635795%	5.959509%	0.686899%	1.334843%	7.792959%	2.409174%
Forecast CAGR	Geo Capacity	%	2024-2030	14.172959%	121.246222%	719.157918%	26.660600%	8.069971%	73.765048%	4.388361%	14.776594%	2.320130%	13.796439%	8.004222%
Forecast CAGR	Biomass Capacity	%	2024-2030	0.690037%	0.959625%	1.150254%	9.817895%	-0.698176%	12.250137%	-0.179147%	0.080542%	-0.160849%	2.588153%	0.545319%
Forecast CAGR	Nuclear Capacity	%	2024-2030	1.436587%	3.116690%	5.079232%	12.035886%	-0.164310%	1.467774%	16.926509%	0.514876%	3.802478%	0.602531%	1.899641%
														
Forecast Annual Growth Rate	Solar Capacity	%	2025	17.161651%	19.169772%	18.745853%	18.658913%	17.593193%	25.394449%	11.310089%	12.431175%	16.204304%	19.393965%	16.928592%
Forecast Annual Growth Rate	Solar Capacity	%	2026	16.236770%	16.945970%	30.933314%	18.092223%	14.776407%	23.816350%	8.288432%	13.219891%	13.952617%	22.768910%	12.288475%
Forecast Annual Growth Rate	Solar Capacity	%	2027	13.897949%	13.929582%	25.487823%	15.665522%	13.532747%	25.026928%	10.002494%	11.621994%	12.262759%	22.995701%	8.130045%
Forecast Annual Growth Rate	Solar Capacity	%	2028	13.207534%	12.987606%	15.913655%	14.011577%	13.033983%	15.098746%	30.964297%	11.199971%	10.948019%	17.334714%	11.803955%
Forecast Annual Growth Rate	Solar Capacity	%	2029	11.790392%	10.317401%	11.225395%	13.852728%	11.441237%	9.684881%	46.086682%	13.527512%	10.329293%	14.344446%	7.418293%
Forecast Annual Growth Rate	Solar Capacity	%	2030	12.001371%	10.259390%	9.661193%	13.876619%	10.739618%	12.811996%	40.804447%	15.528872%	10.359926%	14.101261%	6.729931%
Forecast Annual Growth Rate	Wind Capacity	%	2025	9.004144%	8.471053%	1.816580%	13.931207%	7.614537%	32.465386%	19.982874%	6.198586%	9.195928%	17.400571%	41.724408%
Forecast Annual Growth Rate	Wind Capacity	%	2026	8.078651%	8.028512%	2.555092%	14.818723%	7.063461%	14.832143%	20.044178%	6.534683%	6.781667%	3.623079%	23.888105%
Forecast Annual Growth Rate	Wind Capacity	%	2027	7.438194%	7.515914%	6.994139%	17.310670%	6.882409%	11.657469%	19.052926%	5.158855%	6.549202%	9.607563%	11.651287%
Forecast Annual Growth Rate	Wind Capacity	%	2028	9.485917%	10.125935%	10.875854%	22.072554%	7.023197%	13.972723%	15.573629%	6.690428%	6.634799%	12.745598%	18.912960%
Forecast Annual Growth Rate	Wind Capacity	%	2029	10.296610%	12.243338%	15.460319%	19.902098%	7.215774%	11.078788%	15.648889%	7.313853%	6.188230%	9.005245%	11.339538%
Forecast Annual Growth Rate	Wind Capacity	%	2030	10.083477%	10.707581%	19.703800%	17.275558%	7.844924%	7.538169%	14.008899%	7.262759%	8.993728%	6.206771%	12.306664%
